,année,argus,bon marché,km,prix,pro,tél,version
0,2016,NA,YES,2500.0,23512.0,YES,0183799570,INTENS
1,2013,NA,YES,30000.0,9600.0,NO,NA,NA
2,2016,NA,YES,100.0,16890.0,YES,0183799570,ZEN
3,2014,11602.0,YES,17791.0,10190.0,YES,0176455461,ZEN
4,2016,NA,YES,1000.0,17100.0,YES,0805805802,INTENS
5,2016,NA,YES,2000.0,21490.0,YES,0805805802,LIFE
6,2016,NA,YES,1000.0,17100.0,YES,0805805802,INTENS
7,2016,NA,YES,2000.0,21490.0,YES,0805805802,LIFE
8,2016,NA,YES,10.0,13490.0,YES,0182714652,LIFE
9,2016,NA,YES,3000.0,15490.0,YES,0805805802,INTENS
10,2013,10648.0,YES,40595.0,8690.0,YES,0174704406,INTENS
11,2016,NA,YES,1700.0,12800.0,NO,NA,NA
12,2013,10465.0,YES,27689.0,8990.0,YES,0174704406,ZEN
13,2013,10648.0,YES,53800.0,9790.0,YES,0139754280,INTENS
14,2015,12438.0,YES,24600.0,10980.0,YES,0160625056,LIFE
15,2015,12438.0,YES,11480.0,11720.0,YES,0175448151,LIFE
16,2016,NA,YES,6000.0,16500.0,YES,0184040214,ZEN
17,2015,12438.0,YES,22000.0,10800.0,NO,NA,LIFE
18,2016,NA,YES,1.0,13990.0,YES,0160625056,ZEN
19,2013,10648.0,YES,25000.0,8950.0,NO,NA,INTENS
20,2016,NA,YES,100.0,20000.0,YES,0184030570,ZEN
21,2015,13088.0,NO,2350.0,20900.0,YES,0175448643,INTENS
22,2016,NA,YES,100.0,19700.0,YES,0184030570,LIFE
23,2015,13088.0,YES,17979.0,12500.0,YES,0175448151,INTENS
24,2013,10465.0,YES,21500.0,9990.0,YES,0171025422,ZEN
25,2016,NA,YES,14.0,12990.0,YES,0142870720,LIFE
26,2013,10465.0,NO,24973.0,10490.0,YES,0170176498,ZEN
27,2016,NA,YES,100.0,14800.0,YES,0184030570,ZEN
28,2015,12438.0,YES,13195.0,10990.0,YES,0174704406,LIFE
29,2013,NA,YES,62434.0,8400.0,YES,0669103000,NA
30,2013,10648.0,NO,7700.0,11490.0,YES,0623550699,INTENS
31,2014,11219.0,YES,7297.0,9970.0,YES,0178769520,LIFE
32,2016,NA,YES,10.0,12820.0,YES,0143240835,LIFE
33,2014,11805.0,NO,17885.0,11900.0,YES,0175448151,INTENS
34,2016,NA,YES,10.0,14464.0,YES,0143240835,INTENS
35,2013,NA,YES,15400.0,10950.0,NO,NA,NA
36,2016,NA,YES,200.0,14464.0,YES,0143240835,INTENS
37,2016,NA,YES,200.0,13290.0,YES,0148763773,LIFE
38,2016,NA,YES,100.0,15600.0,YES,0184030570,ZEN
39,2015,12927.0,NO,7975.0,12990.0,YES,0174730257,ZEN
40,2014,11602.0,YES,37240.0,9480.0,YES,0139754280,ZEN
41,2015,12863.0,YES,8214.0,12590.0,YES,0174704406,ZEN
42,2014,11805.0,NO,100.0,20000.0,YES,0184030570,INTENS
43,2016,NA,YES,1490.0,16990.0,YES,0164895656,INTENS
44,2015,12504.0,YES,11494.0,10990.0,YES,0174704406,LIFE
45,2015,12438.0,YES,7569.0,11290.0,YES,0175448159,LIFE
46,2013,NA,YES,17000.0,10000.0,NO,0615222549,NA
47,2015,12863.0,NO,4750.0,12990.0,YES,0687808813,ZEN
48,2015,13088.0,YES,8000.0,12900.0,YES,0484320215,INTENS
49,2016,NA,YES,10.0,15590.0,YES,0422170122,INTENS
50,2014,11219.0,YES,7628.0,10850.0,YES,0805805802,LIFE
51,2014,11219.0,YES,7628.0,10850.0,YES,0805805802,LIFE
52,2014,11805.0,NO,3500.0,12500.0,NO,NA,INTENS
53,2015,12438.0,YES,3666.0,11900.0,YES,0422170199,LIFE
54,2013,NA,YES,20000.0,10000.0,NO,NA,NA
55,2016,NA,YES,20.0,17000.0,NO,NA,NA
56,2014,11805.0,NO,13243.0,12490.0,YES,0618402010,INTENS
57,2015,12863.0,YES,8000.0,12500.0,YES,0484320215,ZEN
58,2016,NA,YES,10.0,13490.0,YES,0673895460,LIFE
59,2013,10465.0,YES,46145.0,8990.0,YES,0490789523,ZEN
60,2014,11805.0,NO,11269.0,11990.0,YES,0422170108,INTENS
61,2013,10648.0,YES,32154.0,9900.0,YES,0494110548,INTENS
62,2015,12438.0,YES,7090.0,11990.0,YES,0422170122,LIFE
63,2014,NA,YES,23000.0,5600.0,YES,0494385104,NA
64,2013,NA,YES,37500.0,9200.0,NO,NA,NA
