,dpt,region
0,01,Auvergne-Rhône-Alpes
1,02,Nord-Pas-de-Calais-Picardie
2,03,Auvergne-Rhône-Alpes
3,04,Provence-Alpes-Côte d'Azur
4,05,Provence-Alpes-Côte d'Azur
5,06,Provence-Alpes-Côte d'Azur
6,07,Auvergne-Rhône-Alpes
7,08,Alsace-Champagne-Ardenne-Lorraine
8,09,Languedoc-Roussillon-Midi-Pyrénées
9,10,Alsace-Champagne-Ardenne-Lorraine
10,11,Languedoc-Roussillon-Midi-Pyrénées
11,12,Languedoc-Roussillon-Midi-Pyrénées
12,13,Provence-Alpes-Côte d'Azur
13,14,Normandie
14,15,Auvergne-Rhône-Alpes
15,16,Aquitaine-Limousin-Poitou-Charentes
16,17,Aquitaine-Limousin-Poitou-Charentes
17,18,Centre-Val de Loire
18,19,Aquitaine-Limousin-Poitou-Charentes
19,2A,Corse
20,2B,Corse
21,21,Bourgogne-Franche-Comté
22,22,Bretagne
23,23,Aquitaine-Limousin-Poitou-Charentes
24,24,Aquitaine-Limousin-Poitou-Charentes
25,25,Bourgogne-Franche-Comté
26,26,Auvergne-Rhône-Alpes
27,27,Normandie
28,28,Centre-Val de Loire
29,29,Bretagne
30,30,Languedoc-Roussillon-Midi-Pyrénées
31,31,Languedoc-Roussillon-Midi-Pyrénées
32,32,Languedoc-Roussillon-Midi-Pyrénées
33,33,Aquitaine-Limousin-Poitou-Charentes
34,34,Languedoc-Roussillon-Midi-Pyrénées
35,35,Bretagne
36,36,Centre-Val de Loire
37,37,Centre-Val de Loire
38,38,Auvergne-Rhône-Alpes
39,39,Bourgogne-Franche-Comté
40,40,Aquitaine-Limousin-Poitou-Charentes
41,41,Centre-Val de Loire
42,42,Auvergne-Rhône-Alpes
43,43,Auvergne-Rhône-Alpes
44,44,Pays de la Loire
45,45,Centre-Val de Loire
46,46,Languedoc-Roussillon-Midi-Pyrénées
47,47,Aquitaine-Limousin-Poitou-Charentes
48,48,Languedoc-Roussillon-Midi-Pyrénées
49,49,Pays de la Loire
50,50,Normandie
51,51,Alsace-Champagne-Ardenne-Lorraine
52,52,Alsace-Champagne-Ardenne-Lorraine
53,53,Pays de la Loire
54,54,Alsace-Champagne-Ardenne-Lorraine
55,55,Alsace-Champagne-Ardenne-Lorraine
56,56,Bretagne
57,57,Alsace-Champagne-Ardenne-Lorraine
58,58,Bourgogne-Franche-Comté
59,59,Nord-Pas-de-Calais-Picardie
60,59,Nord-Pas-de-Calais-Picardie
61,59,Nord-Pas-de-Calais-Picardie
62,59,Nord-Pas-de-Calais-Picardie
63,60,Nord-Pas-de-Calais-Picardie
64,61,Normandie
65,62,Nord-Pas-de-Calais-Picardie
66,62,Nord-Pas-de-Calais-Picardie
67,63,Auvergne-Rhône-Alpes
68,64,Aquitaine-Limousin-Poitou-Charentes
69,64,Aquitaine-Limousin-Poitou-Charentes
70,65,Languedoc-Roussillon-Midi-Pyrénées
71,66,Languedoc-Roussillon-Midi-Pyrénées
72,67,Alsace-Champagne-Ardenne-Lorraine
73,68,Alsace-Champagne-Ardenne-Lorraine
74,69,Auvergne-Rhône-Alpes
75,70,Bourgogne-Franche-Comté
76,71,Bourgogne-Franche-Comté
77,72,Pays de la Loire
78,73,Auvergne-Rhône-Alpes
79,74,Auvergne-Rhône-Alpes
80,75,Île-de-France
81,76,Normandie
82,76,Normandie
83,77,Île-de-France
84,78,Île-de-France
85,79,Aquitaine-Limousin-Poitou-Charentes
86,80,Nord-Pas-de-Calais-Picardie
87,81,Languedoc-Roussillon-Midi-Pyrénées
88,82,Languedoc-Roussillon-Midi-Pyrénées
89,83,Provence-Alpes-Côte d'Azur
90,84,Provence-Alpes-Côte d'Azur
91,85,Pays de la Loire
92,86,Aquitaine-Limousin-Poitou-Charentes
93,87,Aquitaine-Limousin-Poitou-Charentes
94,88,Alsace-Champagne-Ardenne-Lorraine
95,89,Bourgogne-Franche-Comté
96,90,Bourgogne-Franche-Comté
97,91,Île-de-France
98,92,Île-de-France
99,93,Île-de-France
100,94,Île-de-France
101,95,Île-de-France
102,971,Guadeloupe
103,972,Martinique
104,973,Guyane
105,974,La Réunion
