edge,distance,duration
Paris-Paris,0,0
Paris-Marseille,775147,25463
Paris-Lyon,465838,15537
Paris-Toulouse,679426,22668
Paris-Nice,932197,30521
Paris-Nantes,385174,13310
Paris-Strasbourg,491901,16114
Paris-Montpellier,747845,24604
Paris-Bordeaux,584539,19574
Paris-Lille,219312,8435
Marseille-Paris,774927,25381
Marseille-Marseille,0,0
Marseille-Lyon,313685,10659
Marseille-Toulouse,402891,14017
Marseille-Nice,199463,7757
Marseille-Nantes,985435,31437
Marseille-Strasbourg,798380,25996
Marseille-Montpellier,170370,7045
Marseille-Bordeaux,645148,21372
Marseille-Lille,999852,31452
Lyon-Paris,466053,15519
Lyon-Marseille,314190,10753
Lyon-Lyon,0,0
Lyon-Toulouse,537075,17867
Lyon-Nice,471240,15811
Lyon-Nantes,685234,22354
Lyon-Strasbourg,487680,16037
Lyon-Montpellier,304554,10895
Lyon-Bordeaux,555681,18768
Lyon-Lille,690978,21589
Toulouse-Paris,678904,22688
Toulouse-Marseille,403446,13891
Toulouse-Lyon,537518,17704
Toulouse-Toulouse,0,0
Toulouse-Nice,560496,18949
Toulouse-Nantes,584963,18794
Toulouse-Strasbourg,968785,32895
Toulouse-Montpellier,242511,8923
Toulouse-Bordeaux,244676,8729
Toulouse-Lille,894415,29589
Nice-Paris,932341,30597
Nice-Marseille,204861,8010
Nice-Lyon,471099,15875
Nice-Toulouse,560305,19233
Nice-Nice,0,0
Nice-Nantes,1142850,36653
Nice-Strasbourg,784866,29668
Nice-Montpellier,327784,12261
Nice-Bordeaux,802563,26588
Nice-Lille,1157266,36667
Nantes-Paris,384542,13262
Nantes-Marseille,985868,31273
Nantes-Lyon,685084,22218
Nantes-Toulouse,585999,18692
Nantes-Nice,1142918,36331
Nantes-Nantes,0,0
Nantes-Strasbourg,865808,27696
Nantes-Montpellier,824934,26305
Nantes-Bordeaux,346929,11696
Nantes-Lille,600053,20163
Strasbourg-Paris,490232,15907
Strasbourg-Marseille,799552,25967
Strasbourg-Lyon,492813,16276
Strasbourg-Toulouse,970962,32784
Strasbourg-Nice,784275,29325
Strasbourg-Nantes,865652,27670
Strasbourg-Strasbourg,0,0
Strasbourg-Montpellier,789916,26109
Strasbourg-Bordeaux,968927,32726
Strasbourg-Lille,524658,17574
Montpellier-Paris,747998,24723
Montpellier-Marseille,169037,6914
Montpellier-Lyon,303110,10727
Montpellier-Toulouse,242383,8799
Montpellier-Nice,326087,11972
Montpellier-Nantes,824928,26219
Montpellier-Strasbourg,787805,26064
Montpellier-Montpellier,0,0
Montpellier-Bordeaux,484641,16155
Montpellier-Lille,963510,31625
Bordeaux-Paris,590492,19513
Bordeaux-Marseille,645494,21174
Bordeaux-Lyon,555983,18611
Bordeaux-Toulouse,245625,8593
Bordeaux-Nice,802545,26232
Bordeaux-Nantes,353408,11769
Bordeaux-Strasbourg,968338,32717
Bordeaux-Montpellier,484560,16206
Bordeaux-Bordeaux,0,0
Bordeaux-Lille,806003,26414
Lille-Paris,225194,8368
Lille-Marseille,1000932,31665
Lille-Lyon,691624,21739
Lille-Toulouse,894913,29562
Lille-Nice,1157982,36723
Lille-Nantes,600661,20203
Lille-Strasbourg,525123,17558
Lille-Montpellier,963331,31497
Lille-Bordeaux,800025,26468
Lille-Lille,0,0
