;Modele;Version;Année;Km;TypeVendeur;Telephone
0;Zoe;zen;2015;19500;particulier;
1;Zoe;intens;2016;2500;pro;
2;Zoe;intens;2013;30000;particulier;
3;Zoe;zen;2016;100;pro;
4;Zoe;life;2015;11494;pro;
5;Zoe;zen;2014;17791;pro;
6;Zoe;intens;2016;1000;pro;
7;Zoe;life;2016;2000;pro;
8;Zoe;life;2015;7569;pro;
9;Zoe;intens;2016;1000;pro;
10;Zoe;life;2016;2000;pro;
11;Zoe;life;2016;10;pro;
12;Zoe;intens;2016;3000;pro;
13;Zoe;life;2016;1700;particulier;
14;Zoe;zen;2013;27689;pro;
15;Zoe;intens;2013;53800;pro;
16;Zoe;life;2015;24600;pro;
17;Zoe;life;2015;11480;pro;
18;Zoe;zen;2016;6000;pro;
19;Zoe;life;2015;22000;particulier;
20;Zoe;zen;2016;1;pro;
21;Zoe;intens;2013;25000;particulier;
22;Zoe;zen;2016;100;pro;
23;Zoe;intens;2015;2350;pro;
24;Zoe;life;2016;100;pro;
25;Zoe;intens;2015;17979;pro;
26;Zoe;zen;2013;21500;pro;
27;Zoe;life;2016;14;pro;
28;Zoe;zen;2013;24973;pro;
29;Zoe;zen;2016;100;pro;
30;Zoe;life;2015;13195;pro;
31;Zoe;zen;2013;62434;pro;
32;Zoe;intens;2013;7700;pro;
33;Zoe;life;2014;7297;pro;
34;Zoe;life;2016;10;pro;
